StateCode,State,Country,Continuing,New,Students
TAS,Tasmania,Thailand,46,12,58
TAS,Tasmania,United States of America,34,16,50
TAS,Tasmania,Chile,46,3,49
TAS,Tasmania,United Kingdom,34,14,48
TAS,Tasmania,Singapore,39,6,45
TAS,Tasmania,Germany,28,13,41
NT,Northern Territory,Nepal,1196,4,1200
NT,Northern Territory,India,745,1,746
NT,Northern Territory,Bangladesh,493,1,494
NT,Northern Territory,Philippines,238,4,242
NT,Northern Territory,Vietnam,211,12,223
NT,Northern Territory,China,207,4,211
NT,Northern Territory,Pakistan,205,3,208
NT,Northern Territory,Indonesia,80,16,96
NT,Northern Territory,Sri Lanka,83,2,85
NT,Northern Territory,Kenya,55,3,58
NT,Northern Territory,Colombia,38,0,38
NT,Northern Territory,Bhutan,25,0,25
NT,Northern Territory,Thailand,19,4,23
NT,Northern Territory,United Kingdom,18,1,19
NT,Northern Territory,Nigeria,18,0,18
NT,Northern Territory,Brazil,18,0,18
NT,Northern Territory,Taiwan,16,1,17
NT,Northern Territory,Cambodia,14,1,15
NT,Northern Territory,Zimbabwe,13,1,14
NT,Northern Territory,Fiji,12,1,13
NT,Northern Territory,Malaysia,12,0,12
NT,Northern Territory,Ethiopia,10,0,10
NT,Northern Territory,Timor-Leste,10,0,10
NT,Northern Territory,Germany,10,0,10
NT,Northern Territory,Peru,9,0,9
ACT,Australian Capital Territory,China,4408,693,5101
ACT,Australian Capital Territory,India,2040,261,2301
ACT,Australian Capital Territory,Nepal,1319,46,1365
ACT,Australian Capital Territory,Bhutan,684,57,741
ACT,Australian Capital Territory,Vietnam,382,39,421
ACT,Australian Capital Territory,Bangladesh,263,64,327
ACT,Australian Capital Territory,Pakistan,288,29,317
ACT,Australian Capital Territory,Indonesia,267,47,314
ACT,Australian Capital Territory,Philippines,282,28,310
ACT,Australian Capital Territory,Republic of Korea (South),161,43,204
ACT,Australian Capital Territory,Malaysia,143,40,183
ACT,Australian Capital Territory,Taiwan,131,17,148
ACT,Australian Capital Territory,Sri Lanka,130,17,147
ACT,Australian Capital Territory,Hong Kong SAR,109,36,145
ACT,Australian Capital Territory,Japan,82,18,100
ACT,Australian Capital Territory,Singapore,76,15,91
ACT,Australian Capital Territory,United Kingdom,67,20,87
ACT,Australian Capital Territory,United States of America,50,29,79
ACT,Australian Capital Territory,Thailand,67,8,75
ACT,Australian Capital Territory,Colombia,61,2,63
ACT,Australian Capital Territory,Iran,58,3,61
ACT,Australian Capital Territory,Saudi Arabia,49,11,60
ACT,Australian Capital Territory,Brazil,48,4,52
ACT,Australian Capital Territory,Kenya,48,4,52
ACT,Australian Capital Territory,Mongolia,49,2,51
